system:time_start,chlor_a
"Feb 1, 2011",2.359
"Mar 1, 2011",6.94
"Apr 1, 2011",3.468
"May 1, 2011",1.843
"Jun 1, 2011",1.777
"Jul 1, 2011",1.186
"Aug 1, 2011",0.776
"Sep 1, 2011",0.712
"Oct 1, 2011",1.461
"Nov 1, 2011",2.055
"Dec 1, 2011",1.222
"Jan 1, 2012",1.821
"Feb 1, 2012",2.815
"Mar 1, 2012",3.544
"Apr 1, 2012",2.684
"May 1, 2012",1.604
"Jun 1, 2012",2.064
"Jul 1, 2012",0.744
"Aug 1, 2012",0.499
"Sep 1, 2012",0.627
"Oct 1, 2012",1.183
"Nov 1, 2012",1.114
"Dec 1, 2012",1.542
"Jan 1, 2013",1.552
"Feb 1, 2013",1.279
"Mar 1, 2013",1.604
"Apr 1, 2013",1.894
"May 1, 2013",1.135
"Jun 1, 2013",0.764
"Jul 1, 2013",0.534
"Aug 1, 2013",0.433
"Sep 1, 2013",0.566
"Oct 1, 2013",1.242
"Nov 1, 2013",1.441
"Dec 1, 2013",1.359
"Jan 1, 2014",1.792
"Feb 1, 2014",3.707
"Mar 1, 2014",4.196
"Apr 1, 2014",2.252
"May 1, 2014",1.594
"Jun 1, 2014",0.764
"Jul 1, 2014",0.623
"Aug 1, 2014",0.541
"Sep 1, 2014",0.685
"Oct 1, 2014",0.816
"Nov 1, 2014",2.234
"Dec 1, 2014",1.812
"Jan 1, 2015",1.653
"Feb 1, 2015",3.122
"Mar 1, 2015",3.722
"Apr 1, 2015",4.349
"May 1, 2015",2.546
"Jun 1, 2015",1.101
"Jul 1, 2015",0.574
"Aug 1, 2015",0.562
"Sep 1, 2015",0.777
"Oct 1, 2015",1.17
"Nov 1, 2015",1.573
"Dec 1, 2015",1.166
"Jan 1, 2016",0.916
"Feb 1, 2016",1.655
"Mar 1, 2016",2.299
"Apr 1, 2016",1.807
"May 1, 2016",0.992
"Jun 1, 2016",0.617
"Jul 1, 2016",0.521
"Aug 1, 2016",0.519
"Sep 1, 2016",0.557
"Oct 1, 2016",0.663
"Nov 1, 2016",2.038
"Dec 1, 2016",1.537
"Jan 1, 2017",1.256
"Feb 1, 2017",2.42
"Mar 1, 2017",1.818
"Apr 1, 2017",1.54
"May 1, 2017",1.019
"Jun 1, 2017",0.782
"Jul 1, 2017",0.527
"Aug 1, 2017",0.463
"Sep 1, 2017",0.772
"Oct 1, 2017",1.094
"Nov 1, 2017",1.575
"Dec 1, 2017",1.657
"Jan 1, 2018",1.49
"Feb 1, 2018",1.892
"Mar 1, 2018",1.636
"Apr 1, 2018",1.272
"May 1, 2018",1.006
"Jun 1, 2018",0.926
"Jul 1, 2018",0.508
"Aug 1, 2018",0.515
"Sep 1, 2018",0.571
"Oct 1, 2018",1.072
"Nov 1, 2018",1.003
"Dec 1, 2018",1.33
"Jan 1, 2019",1.238
"Feb 1, 2019",1.494
"Mar 1, 2019",2.24
"Apr 1, 2019",1.633
"May 1, 2019",1.259
"Jun 1, 2019",0.759
"Jul 1, 2019",0.52
"Aug 1, 2019",0.485
"Sep 1, 2019",0.611
"Oct 1, 2019",1.24
"Nov 1, 2019",1.412
"Dec 1, 2019",1.146
